id gen age mar loc inc iscr escr
51 F 46 M 0 15100 531 555
52 M 29 M 2 14200 673 633
53 M 25 S 0 22200 742 998
54 M 36 M 2 1000 677 646
55 F 99 S 0 10600 608 998
56 F 45 M 2 6100 710 743
57 M 99 M 2 16500 679 646
58 F 37 M 0 7400 637 683
59 M 45 S 0 22800 683 998
60 M 22 S 0 6400 699 998
61 M 32 S 0 3100 721 998
62 F 27 S 0 7300 696 998
63 F 35 M 3 5800 682 712
64 F 29 M 1 15400 657 694
65 M 37 M 0 8900 677 643
66 F 43 M 2 0 654 670
67 M 43 S 0 0 685 998
68 M 30 M 3 2800 698 649
69 M 40 M 0 2100 692 644
70 M 40 M 3 0 682 648
71 F 33 M 0 11900 611 630
72 F 38 M 0 6200 663 682
73 F 37 S 0 0 632 998
74 F 38 W 0 17900 699 998
75 M 40 M 0 12600 750 736
76 M 31 D 2 2300 756 998
77 F 26 M 2 0 679 706
78 M 26 M 5 20500 595 563
79 F 25 M 0 18500 656 688
80 M 36 M 3 0 663 629
81 F 30 S 1 11100 653 998
82 F 27 M 5 14300 722 739
83 M 38 M 1 0 636 602
84 M 45 M 2 4200 660 618
85 M 33 S 0 9800 700 998
86 M 34 S 0 99999 660 998
87 M 34 S 0 99999 706 998
88 F 36 M 2 25000 625 674
89 F 25 S 0 26200 650 998
90 F 22 S 1 800 603 998
91 F 27 S 0 0 652 998
92 F 31 M 0 1800 658 701
93 F 29 M 3 9400 618 640
94 F 36 M 0 11600 552 569
95 M 37 M 2 9500 668 652
96 M 33 M 0 15800 667 628
97 M 42 M 2 10200 648 613
98 F 34 D 1 13300 645 998
99 F 99 W 2 0 587 998
100 F 27 W 5 6300 621 998
101 F 43 M 0 4100 711 745
102 M 30 M 0 17800 577 529
103 F 25 S 1 0 999 998
104 M 39 M 0 3100 645 599
105 F 99 S 0 12400 650 998
106 F 43 M 0 7700 667 699
107 M 99 M 0 0 739 719
108 F 32 M 3 900 606 625
109 M 47 S 1 27900 680 998
110 M 25 S 0 8700 692 998
111 M 30 S 0 4200 762 998
